"","year","sector","lifetime_probability"
"206",19,"comm",4.17e-09
"207",19,"agri",2.27e-07
"208",19,"text",1.9e-06
"209",19,"othe",1.9e-06
"210",20,"tran",0.0151
"211",20,"mach",0.0151
"212",20,"pack",0
"213",20,"heal",0
"214",20,"buil",0.00178
"215",20,"elec",7.79e-05
"216",20,"hous",1.53e-09
"217",20,"comm",1.53e-09
"218",20,"agri",1.23e-07
"219",20,"text",7.76e-07
"220",20,"othe",7.76e-07
"221",21,"tran",0.00924
"222",21,"mach",0.00924
"223",21,"pack",0
"224",21,"heal",0
"225",21,"buil",0.00336
"226",21,"elec",3.4e-05
"227",21,"hous",5.75e-10
"228",21,"comm",5.75e-10
"229",21,"agri",6.81e-08
"230",21,"text",3.22e-07
"231",21,"othe",3.22e-07
"232",22,"tran",0.00555
"233",22,"mach",0.00555
"234",22,"pack",0
"235",22,"heal",0
"236",22,"buil",0.00581
"237",22,"elec",1.48e-05
"238",22,"hous",2.22e-10
"239",22,"comm",2.22e-10
"240",22,"agri",3.84e-08
"241",22,"text",1.35e-07
"242",22,"othe",1.35e-07
"243",23,"tran",0.00327
"244",23,"mach",0.00327
"245",23,"pack",0
"246",23,"heal",0
"247",23,"buil",0.00927
"248",23,"elec",6.48e-06
"249",23,"hous",8.76e-11
"250",23,"comm",8.76e-11
"251",23,"agri",2.2e-08
"252",23,"text",5.79e-08
"253",23,"othe",5.79e-08
"254",24,"tran",0.0019
"255",24,"mach",0.0019
"256",24,"pack",0
"257",24,"heal",0
"258",24,"buil",0.0138
"259",24,"elec",2.85e-06
"260",24,"hous",3.53e-11
"261",24,"comm",3.53e-11
"262",24,"agri",1.28e-08
"263",24,"text",2.51e-08
"264",24,"othe",2.51e-08
"265",25,"tran",0.00109
"266",25,"mach",0.00109
"267",25,"pack",0
"268",25,"heal",0
"269",25,"buil",0.0194
"270",25,"elec",1.26e-06
"271",25,"hous",1.46e-11
"272",25,"comm",1.46e-11
"273",25,"agri",7.54e-09
"274",25,"text",1.1e-08
"275",25,"othe",1.1e-08
"276",26,"tran",0.000622
"277",26,"mach",0.000622
"278",26,"pack",0
"279",26,"heal",0
